,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
16467,Cuba,PWRNG01,ELC01,2038,1965.7597259519985,1965759.7259519985,0.5303213506452945,1042484.3529109878
16468,Cuba,PWRNG01,ELC01,2039,1965.759725951998,1965759.725951998,0.5050679529955185,992842.2408676072
16469,Cuba,PWRNG01,ELC01,2040,1965.7597259519985,1965759.7259519985,0.48101709809097,945564.0389215307
17120,Cuba,PWRNG02,ELC01,2019,527.6911964320027,527691.1964320027,1.3400956406250002,707156.6719347175
17121,Cuba,PWRNG02,ELC01,2020,516.9743530547063,516974.3530547063,1.2762815625000004,659804.8350890874
17122,Cuba,PWRNG02,ELC01,2021,530.5445264363335,530544.5264363335,1.2155062500000002,644880.1877866538
17123,Cuba,PWRNG02,ELC01,2022,650.4621259621392,650462.1259621392,1.1576250000000001,752991.2185669215
17124,Cuba,PWRNG02,ELC01,2023,461.6684151412923,461668.4151412923,1.1025,508989.4276932748
17125,Cuba,PWRNG02,ELC01,2024,628.1863141715064,628186.3141715064,1.05,659595.6298800817
17126,Cuba,PWRNG02,ELC01,2025,985.5078839999992,985507.8839999991,1.0,985507.8839999991
17127,Cuba,PWRNG02,ELC01,2026,985.5078839999993,985507.8839999993,0.9523809523809523,938578.9371428564
17128,Cuba,PWRNG02,ELC01,2027,985.5078839999992,985507.8839999991,0.9070294784580498,893884.7020408155
17129,Cuba,PWRNG02,ELC01,2028,985.5078839999992,985507.8839999991,0.863837598531476,851318.7638483957
17130,Cuba,PWRNG02,ELC01,2029,985.5078839999993,985507.8839999993,0.8227024747918819,810779.7750937102
17131,Cuba,PWRNG02,ELC01,2030,985.5078839999991,985507.883999999,0.7835261664684589,772171.2143749619
17132,Cuba,PWRNG02,ELC01,2031,985.5078839999991,985507.883999999,0.7462153966366274,735401.1565475827
17133,Cuba,PWRNG02,ELC01,2032,985.5078839999993,985507.8839999993,0.7106813301301214,700382.0538548408
17134,Cuba,PWRNG02,ELC01,2033,985.5078839999992,985507.8839999991,0.676839362028687,667030.5274808006
17135,Cuba,PWRNG02,ELC01,2034,985.5078839999991,985507.883999999,0.6446089162177971,635267.169029334
17136,Cuba,PWRNG02,ELC01,2035,985.5078839999992,985507.8839999991,0.6139132535407591,605016.3514565085
